question,answer,source
"The objects are identical except for their temperatures. Which object has the least thermal energy? Choose from: a 7-kilogram block of copper at a temperature of 17°C, a 7-kilogram block of copper at a temperature of 19°C, a 7-kilogram block of copper at a temperature of 27°C.","All three blocks of copper have the same mass but different temperatures. Since the 17°C block is the coldest, it has the least thermal energy.",PhysicsScienceQA
"The objects are identical except for their temperatures. Which object has more thermal energy? Choose from: a pot of spaghetti sauce at a temperature of 85°C, a pot of spaghetti sauce at a temperature of 45°C.","The two pots of spaghetti sauce have the same mass but different temperatures. Since the 85°C pot of spaghetti sauce is hotter than the 45°C pot of spaghetti sauce, it has more thermal energy.",PhysicsScienceQA
"The objects are identical except for their temperatures. Which object has less thermal energy? Choose from: a cherry pie at a temperature of 80°F, a cherry pie at a temperature of 75°F.","The two cherry pies have the same mass but different temperatures. Since the 75°F pie is colder than the 80°F pie, it has less thermal energy.",PhysicsScienceQA
"The objects are identical except for their temperatures. Which object has the most thermal energy? Choose from: a cookie at a temperature of 6°C, a cookie at a temperature of 29°C, a cookie at a temperature of 22°C.","All three cookies have the same mass but different temperatures. Since the 29°C cookie is the hottest, it has the most thermal energy.",PhysicsScienceQA
"The objects are identical except for their temperatures. Which object has more thermal energy? Choose from: a 200-gram cup of black tea at a temperature of 60°C, a 200-gram cup of black tea at a temperature of 40°C.","The two cups of black tea have the same mass but different temperatures. Since the 60°C cup of black tea is hotter than the 40°C cup of black tea, it has more thermal energy.",PhysicsScienceQA
"Which is more flexible? Choose from: silk necktie, wood bat.","Flexible is a property. A flexible material can be bent without breaking easily.
Look at each picture, one at a time. Imagine bending the material shown in each picture.
Of the choices, the silk necktie is more flexible. If you fold silk fabric, it will not break.",PhysicsScienceQA
"Compare the motion of three speedboats. Which speedboat was moving at the lowest speed? Choose from: a speedboat that moved 1,030kilometers west in 10hours, a speedboat that moved 1,055kilometers south in 10hours, a speedboat that moved 955kilometers north in 10hours.","Look at the distance each speedboat moved and the time it took to move that distance. The direction each speedboat moved does not affect its speed.
Notice that each speedboat moved for 10 hours. The speedboat that moved 955 kilometers moved the shortest distance in that time. So, that speedboat must have moved at the lowest speed.",PhysicsScienceQA
"The objects are identical except for their temperatures. Which object has the least thermal energy? Choose from: a 4-kilogram brick at a temperature of 281°F, a 4-kilogram brick at a temperature of 294°F, a 4-kilogram brick at a temperature of 276°F.","All three bricks have the same mass but different temperatures. Since the 276°F brick is the coldest, it has the least thermal energy.",PhysicsScienceQA
"Read the text about an object in motion.
Layla dropped a water balloon off a balcony. The water balloon fell toward her friend Jeremiah, who was standing below the balcony. Complete the statement. Assume that the water balloon's mass did not change.
The gravitational potential energy stored between the water balloon and Earth () as the water balloon fell toward Jeremiah. Choose from: stayed the same, decreased, increased.","Think about how the distance between the water balloon and the center of Earth changed.
Jeremiah was lower than the balcony. As the water balloon fell toward Jeremiah, the distance between the water balloon and the center of Earth decreased. So, the gravitational potential energy stored between the water balloon and Earth decreased as the water balloon fell toward Jeremiah.",PhysicsScienceQA
"Two soap bubbles are identical except for their temperatures. Which soap bubble has less thermal energy? Choose from: the colder soap bubble, the hotter soap bubble.","The two soap bubbles are made of the same material and have the same mass. So, the colder soap bubble has less thermal energy.",PhysicsScienceQA
"Franklin gives two friends a ride in his wagon. One friend sits in the wagon at a time. Franklin starts to pull the wagon across the yard. To move the wagon at the same speed each time, which friend does Franklin need to pull with a larger force? Choose from: a friend who weighs 21 pounds, a friend who weighs 35 pounds.","Look for the friend who is heavier.
A friend who weighs 35 pounds is heavier than a friend who weighs 21 pounds. So, to move the wagon at the same speed each time, Franklin needs to use a larger force to start moving the wagon with a friend who weighs 35 pounds.",PhysicsScienceQA
"Ken gives two friends a ride in his wagon. One friend sits in the wagon at a time. Ken starts to pull the wagon across the yard. To move the wagon at the same speed each time, which friend does Ken need to pull with a larger force? Choose from: a friend who weighs 32 pounds, a friend who weighs 25 pounds.","Look for the friend who is heavier.
A friend who weighs 32 pounds is heavier than a friend who weighs 25 pounds. So, to move the wagon at the same speed each time, Ken needs to use a larger force to start moving the wagon with a friend who weighs 32 pounds.",PhysicsScienceQA
"Compare the motion of two bowhead whales. Which bowhead whale was moving at a lower speed? Choose from: a bowhead whale that moved 50miles in 10hours, a bowhead whale that moved 20miles in 10hours.","Look at the distance each bowhead whale moved and the time it took to move that distance.
One bowhead whale moved 20 miles in 10 hours.
The other bowhead whale moved 50 miles in 10 hours.
Notice that each bowhead whale spent the same amount of time moving. The bowhead whale that moved 20 miles moved a shorter distance in that time. So, that bowhead whale must have moved at a lower speed.",PhysicsScienceQA
"Read the text about an object in motion.
Josiah rode his motorcycle from the bottom of a hill to the top of the hill. Complete the statement. Assume that the motorcycle's mass did not change.
The gravitational potential energy stored between the motorcycle and Earth () as Josiah rode up the hill. Choose from: increased, stayed the same, decreased.","Think about how the distance between the motorcycle and the center of Earth changed.
The top of the hill is higher than the bottom of the hill. As Josiah rode toward the top of the hill, the distance between the motorcycle and the center of Earth increased. So, the gravitational potential energy stored between the motorcycle and Earth increased as Josiah rode up the hill.",PhysicsScienceQA
"The objects are identical except for their temperatures. Which object has less thermal energy? Choose from: a 5-kilogram block of steel at a temperature of 155°C, a 5-kilogram block of steel at a temperature of 175°C.","The two blocks of steel have the same mass but different temperatures. Since the 155°C block is colder than the 175°C block, it has less thermal energy.",PhysicsScienceQA
"Two pencils are identical except for their thermal energies. Which pencil has a lower temperature? Choose from: the pencil with more thermal energy, the pencil with less thermal energy.","The two pencils are made of the same material and have the same mass. So, the pencil with less thermal energy has a lower temperature.",PhysicsScienceQA
"The objects are identical except for their temperatures. Which object has more thermal energy? Choose from: a bowl of oatmeal at a temperature of 70°F, a bowl of oatmeal at a temperature of 80°F.","The two bowls of oatmeal have the same mass but different temperatures. Since the 80°F bowl of oatmeal is hotter than the 70°F bowl of oatmeal, it has more thermal energy.",PhysicsScienceQA
"Which is stickier? Choose from: tape, ice cube.","Sticky is a property. A sticky material can stick to other things.
Look at each picture, one at a time. Imagine touching the material shown in each picture.
Of the choices, the tape is stickier. If you touch a piece of tape, it will stick to you.",PhysicsScienceQA
"The objects are identical except for their temperatures. Which object has less thermal energy? Choose from: a bowl of oatmeal at a temperature of 35°C, a bowl of oatmeal at a temperature of 30°C.","The two bowls of oatmeal have the same mass but different temperatures. Since the 30°C bowl of oatmeal is colder than the 35°C bowl of oatmeal, it has less thermal energy.",PhysicsScienceQA
"Compare the motion of three geese. Which goose was moving at the highest speed? Choose from: a goose that moved 905kilometers south in 10hours, a goose that moved 925kilometers west in 10hours, a goose that moved 920kilometers west in 10hours.","Look at the distance each goose moved and the time it took to move that distance. The direction each goose moved does not affect its speed.
Notice that each goose moved for 10 hours. The goose that moved 925 kilometers moved the farthest distance in that time. So, that goose must have moved at the highest speed.",PhysicsScienceQA
"Which is the bumpiest? Choose from: rock wall, gold ring, silk necktie.","Bumpy is a property. A bumpy material is covered in lumps and bumps. It is not flat or smooth.
Look at each picture, one at a time. Imagine touching the material shown in each picture.
Of the choices, the rock wall is the bumpiest. If you touch a rock wall, it will feel bumpy and lumpy.",PhysicsScienceQA
"The objects are identical except for their temperatures. Which object has the least thermal energy? Choose from: a marble at a temperature of 60°F, a marble at a temperature of 32°F, a marble at a temperature of 14°F.","All three marbles have the same mass but different temperatures. Since the 14°F marble is the coldest, it has the least thermal energy.",PhysicsScienceQA
"Which would stretch the most? Choose from: bone, gold bracelet, rubber gloves.","Stretchy is a property. A stretchy material gets longer when you pull on it.
Look at each picture, one at a time. Imagine pulling on the material shown in each picture.
Of the choices, the rubber gloves would stretch the most. If you pull the fingers of a rubber glove, they will get longer.",PhysicsScienceQA
"Read the text about a person in motion.
Pedro hiked up a tall mountain. He followed a trail all the way to the summit. Complete the statement. Assume that Pedro's mass did not change.
The gravitational potential energy stored between Pedro and Earth () as he hiked toward the summit. Choose from: stayed the same, increased, decreased.","Think about how the distance between Pedro and the center of Earth changed.
The summit of the mountain was higher than the point where Pedro started hiking. As he hiked toward the summit, the distance between Pedro and the center of Earth increased. So, the gravitational potential energy stored between Pedro and Earth increased as he hiked toward the summit.",PhysicsScienceQA
"Compare the motion of two runners. Which runner was moving at a lower speed? Choose from: a runner who moved 35miles in 5hours, a runner who moved 25miles in 5hours.","Look at the distance each runner moved and the time it took to move that distance.
One runner moved 25 miles in 5 hours.
The other runner moved 35 miles in 5 hours.
Notice that each runner spent the same amount of time moving. The runner who moved 25 miles moved a shorter distance in that time. So, that runner must have moved at a lower speed.",PhysicsScienceQA
"Read the text about an object in motion.
On a snowy day, Erin rode her sled down a big hill. Complete the statement. Assume that the sled's mass did not change.
The gravitational potential energy stored between the sled and Earth () as Erin rode down the hill. Choose from: stayed the same, decreased, increased.","Think about how the distance between the sled and the center of Earth changed.
The bottom of the hill was lower than the point where Erin started sledding. As Erin rode toward the bottom of the hill, the distance between the sled and the center of Earth decreased. So, the gravitational potential energy stored between the sled and Earth decreased as Erin rode down the hill.",PhysicsScienceQA
"The objects are identical except for their temperatures. Which object has the least thermal energy? Choose from: a plate of spaghetti at a temperature of 98°F, a plate of spaghetti at a temperature of 97°F, a plate of spaghetti at a temperature of 136°F.","All three plates of spaghetti have the same mass but different temperatures. Since the 97°F plate of spaghetti is the coldest, it has the least thermal energy.",PhysicsScienceQA
"The objects are identical except for their temperatures. Which object has more thermal energy? Choose from: a pot of spaghetti sauce at a temperature of 115°F, a pot of spaghetti sauce at a temperature of 105°F.","The two pots of spaghetti sauce have the same mass but different temperatures. Since the 115°F pot of spaghetti sauce is hotter than the 105°F pot of spaghetti sauce, it has more thermal energy.",PhysicsScienceQA
"Two bowls of oatmeal are identical except for their thermal energies. Which bowl of oatmeal has a higher temperature? Choose from: the bowl of oatmeal with less thermal energy, the bowl of oatmeal with more thermal energy.","The two bowls of oatmeal are made of the same material and have the same mass. So, the bowl of oatmeal with more thermal energy has a higher temperature.",PhysicsScienceQA
"Compare the motion of two geese. Which goose was moving at a higher speed? Choose from: a goose that moved 430kilometers in 10hours, a goose that moved 440kilometers in 10hours.","Look at the distance each goose moved and the time it took to move that distance.
One goose moved 440 kilometers in 10 hours.
The other goose moved 430 kilometers in 10 hours.
Notice that each goose spent the same amount of time moving. The goose that moved 440 kilometers moved a farther distance in that time. So, that goose must have moved at a higher speed.",PhysicsScienceQA
"Kurt and Gary are playing tug-of-war. Kurt is pulling on one end of a rope with a force of 230N. Gary is pulling on the other end of the rope with a force of 300N. Assume all other forces on the rope are balanced. Which statement describes the forces on the rope? Choose from: The forces are unbalanced, so there is a net force on the rope., The forces are balanced, so there is no net force on the rope..","To determine if there is a net force on the rope, look at the forces:
Kurt is pulling the rope toward himself with a force of 230 N.
Gary is pulling the rope toward himself with a force of 300 N.
The forces are in opposite directions, and the forces have different magnitudes: 230 N and 300 N. This means that the forces are unbalanced, so there is a net force on the rope.",PhysicsScienceQA
"Two basketballs are identical except for their temperatures. Which basketball has more thermal energy? Choose from: the hotter basketball, the colder basketball.","The two basketballs are made of the same material and have the same mass. So, the hotter basketball has more thermal energy.",PhysicsScienceQA
"Compare the motion of three cars. Which car was moving at the lowest speed? Choose from: a car that moved 530miles north in 10hours, a car that moved 270miles east in 10hours, a car that moved 585miles south in 10hours.","Look at the distance each car moved and the time it took to move that distance. The direction each car moved does not affect its speed.
Notice that each car moved for 10 hours. The car that moved 270 miles moved the shortest distance in that time. So, that car must have moved at the lowest speed.",PhysicsScienceQA
"Two 250-gram cups of black tea are identical except for their thermal energies. Which cup of black tea has a lower temperature? Choose from: the cup of black tea with more thermal energy, the cup of black tea with less thermal energy.","The two cups of black tea are made of the same material and have the same mass. So, the cup of black tea with less thermal energy has a lower temperature.",PhysicsScienceQA
"The objects are made of the same type of matter. Two fish tanks have the same temperature but different masses. Which fish tank has less thermal energy? Choose from: the fish tank with more mass, the fish tank with less mass.","The two fish tanks have the same temperature and are made of the same type of matter. So, the fish tank with less mass has less thermal energy.",PhysicsScienceQA
"Compare the motion of two bowhead whales. Which bowhead whale was moving at a lower speed? Choose from: a bowhead whale that moved 45kilometers in 10hours, a bowhead whale that moved 65kilometers in 10hours.","Look at the distance each bowhead whale moved and the time it took to move that distance.
One bowhead whale moved 45 kilometers in 10 hours.
The other bowhead whale moved 65 kilometers in 10 hours.
Notice that each bowhead whale spent the same amount of time moving. The bowhead whale that moved 45 kilometers moved a shorter distance in that time. So, that bowhead whale must have moved at a lower speed.",PhysicsScienceQA
"Which is the smoothest? Choose from: concrete sidewalk, sandpaper, paper.","Smooth is a property. A smooth material is not rough or bumpy.
Look at each picture, one at a time. Imagine touching the material shown in each picture.
Of the choices, the paper is the smoothest. If you touch a piece of paper, it will not feel rough or bumpy.",PhysicsScienceQA
"A mom, a dad, and two kids are going for a walk. The mom and the dad each push one of the kids in a stroller. The strollers are the same. But the kids are different sizes. The mom and dad push the strollers at the same speed. Which stroller is pushed with a larger force? Choose from: a stroller with kid that weighs 22 pounds, a stroller with kid that weighs 29 pounds.","Look for the stroller that is heavier.
A stroller holding a kid that weighs 29 pounds is heavier than a stroller holding a kid that weighs 22 pounds. So, the stroller holding the kid that weighs 29 pounds needs to be pushed with a larger force to start moving forward at the same speed as the other other stroller.",PhysicsScienceQA
"The objects are identical except for their temperatures. Which object has the most thermal energy? Choose from: a cherry pie at a temperature of 41°C, a cherry pie at a temperature of 34°C, a cherry pie at a temperature of 48°C.","All three cherry pies have the same mass but different temperatures. Since the 48°C pie is the hottest, it has the most thermal energy.",PhysicsScienceQA
"Select the solid. Choose from: slide, air inside a bubble, air inside a soccer ball, rain.","Rain is a liquid. A liquid takes the shape of any container it is in. If you put rainwater into a bucket, the rainwater will take the shape of the bucket. But the rainwater will still take up the same amount of space.
The air inside a soccer ball is a gas. A gas expands to fill a space. The air fills all the space inside the soccer ball. If air leaks out, it will expand into the space around the ball.
The air inside a bubble is a gas. A gas expands to fill a space. The air inside a bubble fills all the space in the bubble. If the bubble pops, the air will expand to fill a much larger space.
A slide is a solid. A solid has a size and shape of its own. A slide has a size and shape of its own, even when you sit on it.",PhysicsScienceQA
"Read the text about a person in motion.
Robert rode an escalator from the first floor to the second floor of a shopping mall. Complete the statement. Assume that Robert's mass did not change.
The gravitational potential energy stored between Robert and Earth () as he rode the escalator. Choose from: increased, decreased, stayed the same.","Think about how the distance between Robert and the center of Earth changed.
The second floor is higher than the first floor. As he rode the escalator toward the second floor, the distance between Robert and the center of Earth increased. So, the gravitational potential energy stored between Robert and Earth increased as he rode the escalator.",PhysicsScienceQA
"Two donkeys pull carts from the farmhouse to the yard. The carts are the same. Each cart is holding different tools. The donkeys move the carts at the same speed. Which cart is pulled with a larger force? Choose from: a cart holding 45 pounds, a cart holding 87 pounds.","Look for the cart that is heavier.
A cart holding 87 pounds is heavier than a cart holding 45 pounds. So, the cart holding 87 pounds needs a larger force to start moving at the same speed as the other cart.",PhysicsScienceQA
"Read the text about a person in motion.
Diego rode an escalator from the first floor to the second floor of a shopping mall. Complete the statement. Assume that Diego's mass did not change.
The gravitational potential energy stored between Diego and Earth () as he rode the escalator. Choose from: decreased, increased, stayed the same.","Think about how the distance between Diego and the center of Earth changed.
The second floor is higher than the first floor. As he rode the escalator toward the second floor, the distance between Diego and the center of Earth increased. So, the gravitational potential energy stored between Diego and Earth increased as he rode the escalator.",PhysicsScienceQA
"Compare the motion of two motorboats. Which motorboat was moving at a higher speed? Choose from: a motorboat that moved 440miles in 10hours, a motorboat that moved 430miles in 10hours.","Look at the distance each motorboat moved and the time it took to move that distance.
One motorboat moved 440 miles in 10 hours.
The other motorboat moved 430 miles in 10 hours.
Notice that each motorboat spent the same amount of time moving. The motorboat that moved 440 miles moved a farther distance in that time. So, that motorboat must have moved at a higher speed.",PhysicsScienceQA
"Two sugar cubes are identical except for their temperatures. Which sugar cube has more thermal energy? Choose from: the hotter sugar cube, the colder sugar cube.","The two sugar cubes are made of the same material and have the same mass. So, the hotter sugar cube has more thermal energy.",PhysicsScienceQA
"Compare the motion of two motorboats. Which motorboat was moving at a higher speed? Choose from: a motorboat that moved 355kilometers in 5hours, a motorboat that moved 65kilometers in 5hours.","Look at the distance each motorboat moved and the time it took to move that distance.
One motorboat moved 355 kilometers in 5 hours.
The other motorboat moved 65 kilometers in 5 hours.
Notice that each motorboat spent the same amount of time moving. The motorboat that moved 355 kilometers moved a farther distance in that time. So, that motorboat must have moved at a higher speed.",PhysicsScienceQA
"Two watermelons are identical except for their thermal energies. Which watermelon has a higher temperature? Choose from: the watermelon with less thermal energy, the watermelon with more thermal energy.","The two watermelons are made of the same material and have the same mass. So, the watermelon with more thermal energy has a higher temperature.",PhysicsScienceQA
"Two marbles are identical except for their thermal energies. Which marble has a higher temperature? Choose from: the marble with more thermal energy, the marble with less thermal energy.","The two marbles are made of the same material and have the same mass. So, the marble with more thermal energy has a higher temperature.",PhysicsScienceQA
"Read the text about an object in motion.
Anita dropped a water balloon off a balcony. The water balloon fell toward her friend Nolan, who was standing below the balcony. Complete the statement. Assume that the water balloon's mass did not change.
The gravitational potential energy stored between the water balloon and Earth () as the water balloon fell toward Nolan. Choose from: decreased, stayed the same, increased.","Think about how the distance between the water balloon and the center of Earth changed.
Nolan was lower than the balcony. As the water balloon fell toward Nolan, the distance between the water balloon and the center of Earth decreased. So, the gravitational potential energy stored between the water balloon and Earth decreased as the water balloon fell toward Nolan.",PhysicsScienceQA
"Compare the motion of two fish. Which fish was moving at a lower speed? Choose from: a fish that moved 10miles in 10hours, a fish that moved 30miles in 10hours.","Look at the distance each fish moved and the time it took to move that distance.
One fish moved 10 miles in 10 hours.
The other fish moved 30 miles in 10 hours.
Notice that each fish spent the same amount of time moving. The fish that moved 10 miles moved a shorter distance in that time. So, that fish must have moved at a lower speed.",PhysicsScienceQA
"Compare the motion of two blue whales. Which blue whale was moving at a lower speed? Choose from: a blue whale that moved 55miles in 5hours, a blue whale that moved 40miles in 5hours.","Look at the distance each blue whale moved and the time it took to move that distance.
One blue whale moved 40 miles in 5 hours.
The other blue whale moved 55 miles in 5 hours.
Notice that each blue whale spent the same amount of time moving. The blue whale that moved 40 miles moved a shorter distance in that time. So, that blue whale must have moved at a lower speed.",PhysicsScienceQA
"The objects are identical except for their temperatures. Which object has less thermal energy? Choose from: a 150-gram glass of orange juice at a temperature of 50°F, a 150-gram glass of orange juice at a temperature of 40°F.","The two glasses of orange juice have the same mass but different temperatures. Since the 40°F glass of orange juice is colder than the 50°F glass of orange juice, it has less thermal energy.",PhysicsScienceQA
"Select the solid. Choose from: fork, grape juice, air inside a bubble.","The air inside a bubble is a gas. A gas spreads out to fill a space. The air inside a bubble fills all the space in the bubble. If the bubble pops, the air will spread out to fill a much larger space.
A fork is a solid. You can bend a fork. But it will still have a size and shape of its own.
Grape juice is a liquid. A liquid takes the shape of any container it is in. If you pour grape juice into a different container, the grape juice will take the shape of that container. But the grape juice will still take up the same amount of space.",PhysicsScienceQA
"The objects are identical except for their temperatures. Which object has the most thermal energy? Choose from: a banana at a temperature of 65°F, a banana at a temperature of 63°F, a banana at a temperature of 88°F.","All three bananas have the same mass but different temperatures. Since the 88°F banana is the hottest, it has the most thermal energy.",PhysicsScienceQA
"Edna is sitting on a roller coaster cart as it reaches the bottom of a big loop. Earth's gravity is pulling down on Edna with a force of 600N. The seat of the cart is pushing up on Edna with a force of 1,200N. Assume all other forces on Edna are balanced. Which statement describes the forces on Edna? Choose from: The forces are balanced, so there is no net force on Edna., The forces are unbalanced, so there is a net force on Edna..","To determine if there is a net force on Edna, look at the forces:
Earth's gravity is pulling Edna down with a force of 600 N.
The seat of the cart is pushing Edna up with a force of 1,200 N.
The forces are in opposite directions, and the forces have different magnitudes: 600 N and 1,200 N. This means that the forces are unbalanced, so there is a net force on Edna.",PhysicsScienceQA
"Which would stretch the most? Choose from: gold crown, plastic water pitcher, cotton head band.","Stretchy is a property. A stretchy material gets longer when you pull on it.
Look at each picture, one at a time. Imagine pulling on the material shown in each picture.
Of the choices, the cotton head band would stretch the most. If you pull the ends of a cotton headband, it will get longer.",PhysicsScienceQA
"Two water balloons are identical except for their temperatures. Which water balloon has more thermal energy? Choose from: the colder water balloon, the hotter water balloon.","The two water balloons are made of the same material and have the same mass. So, the hotter water balloon has more thermal energy.",PhysicsScienceQA
"Linda is sitting on a roller coaster cart as it reaches the bottom of a big loop. Earth's gravity is pulling down on Linda with a force of 600N. The seat of the cart is pushing up on Linda with a force of 1,200N. Assume all other forces on Linda are balanced. Which statement describes the forces on Linda? Choose from: The forces are unbalanced, so there is a net force on Linda., The forces are balanced, so there is no net force on Linda..","To determine if there is a net force on Linda, look at the forces:
Earth's gravity is pulling Linda down with a force of 600 N.
The seat of the cart is pushing Linda up with a force of 1,200 N.
The forces are in opposite directions, and the forces have different magnitudes: 600 N and 1,200 N. This means that the forces are unbalanced, so there is a net force on Linda.",PhysicsScienceQA
"Two 250-gram glasses of apple juice are identical except for their thermal energies. Which glas of apple juice has a lower temperature? Choose from: the glass of apple juice with less thermal energy, the glass of apple juice with more thermal energy.","The two glasses of apple juice are made of the same material and have the same mass. So, the glass of apple juice with less thermal energy has a lower temperature.",PhysicsScienceQA
"Which would stretch the most? Choose from: cobalt, rubber toy, aluminum foil.","Stretchy is a property. A stretchy material gets longer when you pull on it.
Look at each picture, one at a time. Imagine pulling on the material shown in each picture.
Of the choices, the rubber toy would stretch the most. If you pull on the arms of a rubber stretch toy, they will get longer.",PhysicsScienceQA
"The objects are identical except for their temperatures. Which object has the most thermal energy? Choose from: a crayon at a temperature of 91°F, a crayon at a temperature of 53°F, a crayon at a temperature of 41°F.","All three crayons have the same mass but different temperatures. Since the 91°F crayon is the hottest, it has the most thermal energy.",PhysicsScienceQA
"Select the gas. Choose from: handsaw, door, air inside a balloon, marbles.","A marble is a solid. A solid has a size and shape of its own. A marble can be made of clear or colored glass.
The air inside a balloon is a gas. A gas expands to fill a space. The air inside a balloon expands to fill all the space in the balloon. If the balloon pops, the air will expand to fill a much larger space.
A handsaw is a solid. A solid has a size and shape of its own. The handle of this handsaw is made of wood, and the blade is made of metal. Both wood and metal are solids.
A door is a solid. A solid has a size and shape of its own. When you open or close a door, it keeps its shape.",PhysicsScienceQA
"A girl is pushing a full shopping cart straight down an aisle with increasing speed. Which statement describes the shopping cart's motion? Choose from: The shopping cart has a constant velocity., The shopping cart is accelerating..","The shopping cart is speeding up. So, the shopping cart is accelerating.",PhysicsScienceQA
